[ 1.11611916 -0.89967292 -0.50206246],[-0.89967292  0.83196369  0.46750695],[-0.50206246  0.46750695  1.12114022]
[ 1.00245023 -0.92192931 -0.52702421],[-0.92192931  0.84791669  0.48471559],[-0.52702421  0.48471559  1.12654566]
[ 1.16731812 -0.94704139 -0.55130603],[-0.94704139  0.87580498  0.51468083],[-0.55130603  0.51468083  1.13238126]
[ 1.02226291 -0.94889672 -0.55888281],[-0.94889672  0.88083372  0.51879569],[-0.55888281  0.51879569  1.13815461]
[ 1.02298038 -0.96645857 -0.58482747],[-0.96645857  0.91309729  0.5525388 ],[-0.58482747  0.5525388   1.14397725]
[ 1.09738251 -1.01851191 -0.62948723],[-1.01851191  0.94534559  0.58426844],[-0.62948723  0.58426844  1.14708548]
[ 1.26813496 -1.0501872  -0.65548869],[-1.0501872   0.98041508  0.61652266],[-0.65548869  0.61652266  1.15292107]
[ 1.14360515 -1.06596446 -0.67316336],[-1.06596446  0.9936279   0.62748309],[-0.67316336  0.62748309  1.15848184]
[ 1.15979832 -1.09117097 -0.69750679],[-1.09117097  1.02663694  0.65625581],[-0.69750679  0.65625581  1.16430896]
[ 1.31010792 -1.10064786 -0.70471755],[-1.10064786  1.03809125  0.66519803],[-0.70471755  0.66519803  1.17014453]
[ 1.21879518 -1.14170688 -0.73777891],[-1.14170688  1.06952537  0.69113516],[-0.73777891  0.69113516  1.17545283]
[ 1.27832035 -1.19570661 -0.78069261],[-1.19570661  1.11846195  0.73025974],[-0.78069261  0.73025974  1.1803505 ]
[ 1.34850617 -1.25168409 -0.82223286],[-1.25168409  1.16184253  0.76321679],[-0.82223286  0.76321679  1.1844919 ]
[ 1.50019974 -1.26265659 -0.82945313],[-1.26265659  1.17484711  0.77224197],[-0.82945313  0.77224197  1.19032745]
[ 1.4073516  -1.30595392 -0.86124171],[-1.30595392  1.21188927  0.79920898],[-0.86124171  0.79920898  1.19579201]
[ 1.56526393 -1.32371229 -0.87247521],[-1.32371229  1.23213847  0.81325767],[-0.87247521  0.81325767  1.20162756]
[ 1.4658726  -1.36379814 -0.90169225],[-1.36379814  1.26885776  0.83892163],[-0.90169225  0.83892163  1.20719589]
[ 1.51948167 -1.416141   -0.93752283],[-1.416141    1.31985408  0.87377913],[-0.93752283  0.87377913  1.21257862]
[ 1.59057535 -1.47894205 -0.978794  ],[-1.47894205  1.37516826  0.91011517],[-0.978794    0.91011517  1.21731185]
[ 1.76186156 -1.51139776 -0.99706769],[-1.51139776  1.4112146   0.93305964],[-0.99706769  0.93305964  1.22314738]
[ 1.65169826 -1.54045169 -1.01720585],[-1.54045169  1.43672107  0.94870975],[-1.01720585  0.94870975  1.2287751 ]
[ 1.69488293 -1.59305744 -1.04950335],[-1.59305744  1.49737224  0.98646678],[-1.04950335  0.98646678  1.23457716]
[ 1.78160039 -1.66682088 -1.09365224],[-1.66682088  1.55945799  1.02320878],[-1.09365224  1.02320878  1.23875722]
[ 1.9380659  -1.6831133  -1.10202461],[-1.6831133   1.57826485  1.03374867],[-1.10202461  1.03374867  1.24459273]
[ 1.85114487 -1.7361985  -1.13298643],[-1.7361985   1.62841071  1.06264787],[-1.13298643  1.06264787  1.25020154]
[ 2.04723148 -1.79613987 -1.16264587],[-1.79613987  1.69431938  1.09999436],[-1.16264587  1.09999436  1.25603704]
